episode,step,reward,epsilon,vehicle_location_edge_id,destination_edge_id,out_lanes,action_chosen,best_choice,q_values,stage,done
4,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,8w,,pickup,0
4,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",s,10e,,pickup,0
4,5,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,5n,,pickup,0
4,6,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",l,6n,,pickup,0
4,7,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,8,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
4,9,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,10,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
4,11,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,8w,,pickup,0
4,12,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",l,6n,,pickup,0
4,13,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,14,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",t,9w,,pickup,0
4,15,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,16,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",l,6n,,pickup,0
4,17,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,12s,,pickup,0
4,18,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9w,21n,"{'r': '5n', 's': '8w', 'l': '12s', 't': '9e'}",r,13s,,pickup,0
4,19,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",t,9e,,pickup,0
4,20,0,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",l,6n,,pickup,0
4,21,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",l,6n,,done,1
5,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,13s,,pickup,0
5,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",t,9w,,pickup,0
5,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",l,17e,,pickup,0
5,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",t,13s,,pickup,0
5,5,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,20s,21n,"{'r': '23w', 'l': '24e', 't': '20n'}",t,13n,,pickup,0
5,6,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,20n,21n,"{'r': '17e', 's': '13n', 'l': '16w', 't': '20s'}",r,23w,,pickup,0
5,7,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,20s,21n,"{'r': '23w', 'l': '24e', 't': '20n'}",r,17e,,pickup,0
5,8,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,20n,21n,"{'r': '17e', 's': '13n', 'l': '16w', 't': '20s'}",t,20n,,pickup,0
5,9,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16w,21n,"{'r': '12n', 's': '15w', 'l': '19s', 't': '16e'}",t,20s,,pickup,0
5,10,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16e,21n,"{'r': '20s', 's': '17e', 'l': '13n', 't': '16w'}",r,12n,,pickup,0
5,11,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16w,21n,"{'r': '12n', 's': '15w', 'l': '19s', 't': '16e'}",t,16w,,pickup,0
5,12,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16e,21n,"{'r': '20s', 's': '17e', 'l': '13n', 't': '16w'}",l,19s,,pickup,0
5,13,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16w,21n,"{'r': '12n', 's': '15w', 'l': '19s', 't': '16e'}",t,16w,,pickup,0
5,14,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16e,21n,"{'r': '20s', 's': '17e', 'l': '13n', 't': '16w'}",l,19s,,pickup,0
5,15,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,16w,21n,"{'r': '12n', 's': '15w', 'l': '19s', 't': '16e'}",t,16w,,pickup,0
5,16,0,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,19s,21n,"{'r': '22w', 'l': '23e', 't': '19n'}",r,12n,,pickup,0
5,17,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,19n,21n,"{'r': '16e', 's': '12n', 'l': '15w', 't': '19s'}",s,12n,,done,1
6,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,13s,,pickup,0
6,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",s,10e,,pickup,0
6,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",s,20s,,pickup,0
6,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",s,6n,,pickup,0
6,5,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",s,20s,,pickup,0
6,6,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",r,10e,,pickup,0
6,7,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",t,13n,,pickup,0
6,8,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",l,9w,,pickup,0
6,9,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",s,9w,,done,1
7,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,13s,,pickup,0
7,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",l,6n,,pickup,0
7,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",t,13n,,pickup,0
7,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",t,13s,,pickup,0
7,5,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",s,13s,,done,1
8,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,13s,,pickup,0
8,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",t,9w,"tensor([[-0.2180, -0.2146, -0.0744,  0.2077]], device='cuda:0',
       grad_fn=<AddmmBackward0>)",pickup,0
8,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",l,17e,,pickup,0
8,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",l,9w,,pickup,0
8,5,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",t,13n,,pickup,0
8,6,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",s,6n,,pickup,0
8,7,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",t,13n,,pickup,0
8,8,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",r,10e,,pickup,0
8,9,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",l,2w,,pickup,0
8,10,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",t,6n,"tensor([[-0.1864, -0.2389, -0.1066,  0.1916]], device='cuda:0',
       grad_fn=<AddmmBackward0>)",pickup,0
8,11,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,2w,21n,"{'s': '1w', 'l': '5s', 't': '2e'}",t,6s,,pickup,0
8,12,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,2e,21n,"{'r': '6s', 's': '3e', 't': '2w'}",t,2e,,pickup,0
8,13,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,3e,21n,"{'r': '7s', 't': '3w'}",t,2w,,pickup,0
8,14,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,3w,21n,"{'s': '2w', 'l': '6s', 't': '3e'}",l,2w,,done,1
9,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,10e,,pickup,0
9,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,10e,21n,"{'r': '14s', 'l': '7n', 't': '10w'}",t,9w,,pickup,0
9,3,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,10w,21n,"{'r': '6n', 's': '9w', 'l': '13s', 't': '10e'}",s,9w,,done,1
10,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",l,6n,,pickup,0
10,2,0,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6n,21n,"{'r': '3e', 'l': '2w', 't': '6s'}",r,13s,,pickup,0
10,3,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,6s,21n,"{'r': '9w', 's': '13s', 'l': '10e', 't': '6n'}",s,13s,,done,1
11,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",s,10e,,pickup,0
11,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,10e,21n,"{'r': '14s', 'l': '7n', 't': '10w'}",s,10e,,pickup,0
11,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,14s,21n,"{'r': '17w', 's': '21s', 't': '14n'}",r,14s,,pickup,0
11,4,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,14n,21n,"{'s': '7n', 'l': '10w', 't': '14s'}",r,17w,,pickup,0
11,5,-0.15,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,14s,21n,"{'r': '17w', 's': '21s', 't': '14n'}",r,17w,,done,1
12,1,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,9e,21n,"{'r': '13s', 's': '10e', 'l': '6n', 't': '9w'}",r,13s,,pickup,0
12,2,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",s,10e,,pickup,0
12,3,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",l,17e,,pickup,0
12,4,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",r,10e,,pickup,0
12,5,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",s,20s,,pickup,0
12,6,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",r,10e,,pickup,0
12,7,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",r,16w,,pickup,0
12,8,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",s,6n,,pickup,0
12,9,0.025,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13n,21n,"{'r': '10e', 's': '6n', 'l': '9w', 't': '13s'}",r,16w,,pickup,0
12,10,-0.02,<bound method Agent.get_epsilon of <sumo_mmrl.agent.agent.Agent object at 0x7f47da9dffd0>>,13s,21n,"{'r': '16w', 's': '20s', 'l': '17e', 't': '13n'}",l,9w,,pickup,0
